"kind","name","signature","status","evidence","exclusion_reason"
"export","calcPriceDelta","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcPriceDeltaHypoMon","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcPrices","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcPricesAG","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcPricesHypoMon","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcProducerSurplus","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcProducerSurplusGrimTrigger","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcQuantities","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcRevenues","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcSellerCostParms","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcShares","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcSlopes","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","calcSlack","","formal-test","tests/testthat/test-price-leadership-regressions.R",""
"export","calcSupermarkup","","formal-test","tests/testthat/test-price-leadership-regressions.R",""
"export","calcVC","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","cdfG","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","ces","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","ces.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","ces.cournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","ces.cournot.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","ces.nests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","cmcr","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","cmcr.bertrand","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","cmcr.cournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","cmcr.cournot2","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","cournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","CV","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","diversion","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","diversionHypoMon","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","elast","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","getNestsParms","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","getParms","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","hhi","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","HHI","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","HypoMonTest","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","linear","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit.cap","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit.cap.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit.cournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit.cournot.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit.nests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","logit.nests.alm","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","loglinear","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","model_spec","","formal-test","tests/testthat/test-model-registry.R",""
"export","ownerToMatrix","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","ownerToVec","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","pcaids","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","pcaids.nests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","ple","","formal-test","tests/testthat/test-price-leadership-regressions.R",""
"export","ple.blp","","formal-test","tests/testthat/test-price-leadership-regressions.R",""
"export","plot","","documented-exclusion","ai/package_audit/audit_report.md","Graphics device output is environment-dependent; documented examples remain the smoke check."
"export","show","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","sim","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","simulate","","formal-test","tests/testthat/test-model-architecture.R",""
"export","specify","","formal-test","tests/testthat/test-model-architecture.R",""
"export","stackelberg","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","summary","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","supportedModels","","formal-test","tests/testthat/test-model-registry.R",""
"export","upp","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","upp.bertrand","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","upp.cournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"export","vertical.barg","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","AIDS","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","AntitrustFit","","formal-test","tests/testthat/test-model-architecture.R",""
"S4 class","Antitrust","","documented-exclusion","ai/package_audit/audit_report.md","Abstract/container class or specialized plant-level fixture; inherited behavior is covered by child classes."
"S4 class","Auction2ndCap","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Auction2ndCES","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Auction2ndCESALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Auction2ndLogit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Auction2ndLogitALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Auction2ndLogitNests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Bargaining","","documented-exclusion","ai/package_audit/audit_report.md","Abstract/container class or specialized plant-level fixture; inherited behavior is covered by child classes."
"S4 class","Bargaining2ndCES","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Bargaining2ndLogit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","BargainingCES","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","BargainingCESALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","BargainingLogit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","BargainingLogitALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Bertrand","","documented-exclusion","ai/package_audit/audit_report.md","Abstract/container class or specialized plant-level fixture; inherited behavior is covered by child classes."
"S4 class","CES","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","CESALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","CESCournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","CESCournotALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","CESNests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","characterOrList","","documented-exclusion","ai/package_audit/audit_report.md","Abstract/container class or specialized plant-level fixture; inherited behavior is covered by child classes."
"S4 class","Cournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","CournotBLP","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Linear","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","Logit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitBLP","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitCap","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitCapALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitCournot","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitCournotALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitNests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogitNestsALM","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","LogLin","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","matrixOrList","","documented-exclusion","ai/package_audit/audit_report.md","Abstract/container class or specialized plant-level fixture; inherited behavior is covered by child classes."
"S4 class","matrixOrVector","","documented-exclusion","ai/package_audit/audit_report.md","Abstract/container class or specialized plant-level fixture; inherited behavior is covered by child classes."
"S4 class","PCAIDS","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","PCAIDSNests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","PriceLeadership","","formal-test","tests/testthat/test-price-leadership-regressions.R",""
"S4 class","PriceLeadershipBLP","","formal-test","tests/testthat/test-price-leadership-regressions.R",""
"S4 class","Stackelberg","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","VertBarg2ndLogit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","VertBarg2ndLogitNests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","VertBargBertLogit","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 class","VertBargBertLogitNests","","formal-test","tests/testthat/test-model-combinations.R; tests/testthat/test-public-output-methods.R",""
"S4 method","calcBuyerExpectedCost","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcBuyerValuation","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcDiagnostics","Bertrand","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcDiagnostics","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcDiagnostics","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcdMC","Stackelberg","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcExpectedLowestCost","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcExpectedPrice","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","AIDS","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Auction2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Auction2ndLogitNests","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Bargaining2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Bargaining2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","BargainingCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","BargainingLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Bertrand","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","CES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","CESCournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","CournotBLP","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","LogitCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","LogitCournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMargins","VertBargBertLogitNests","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","Auction2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","Bargaining2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","Bargaining2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","BargainingCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","BargainingLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","CES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMarginsAG","Logit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMC","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMC","Auction2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMC","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMC","Bertrand","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMC","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcMC","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcOptimalReserve","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPriceDelta","AIDS","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPriceDelta","Antitrust","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPriceDelta","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPriceDelta","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPriceDelta","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPriceDeltaHypoMon","AIDS","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPriceDeltaHypoMon","Bertrand","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPriceDeltaHypoMon","Cournot","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPrices","AIDS","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","Auction2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","BargainingLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","Linear","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","Logit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","LogitBLP","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","LogitCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","LogLin","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","VertBarg2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPrices","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","Auction2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","Bargaining2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","Bargaining2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","BargainingCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","BargainingLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","CES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesAG","Logit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcPricesHypoMon","AIDS","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPricesHypoMon","Auction2ndLogit","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPricesHypoMon","Cournot","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPricesHypoMon","Linear","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPricesHypoMon","Logit","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPricesHypoMon","LogitCap","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcPricesHypoMon","LogLin","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcProducerSurplus","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcProducerSurplus","Bertrand","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcProducerSurplus","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcProducerSurplus","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcProducerSurplusGrimTrigger","Bertrand","documented-exclusion","ai/package_audit/audit_report.md","Specialized method is not identified by the synthetic core fixture; retain documented example as the review path."
"S4 method","calcQuantities","AIDS","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcQuantities","CES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcQuantities","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcQuantities","Linear","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcQuantities","Logit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcQuantities","LogLin","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcQuantities","Stackelberg","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcQuantities","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcRevenues","Bertrand","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcRevenues","CES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcRevenues","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcRevenues","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSellerCostParms","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","AIDS","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","Auction2ndCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","Auction2ndLogitNests","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","CES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","CESNests","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","Linear","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","Logit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","LogitBLP","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","LogitNests","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","VertBarg2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcShares","VertBargBertLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","AIDS","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Auction2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Auction2ndCESALM","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Auction2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Auction2ndLogitALM","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Auction2ndLogitNests","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Bargaining2ndCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Bargaining2ndLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","BargainingCES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","BargainingCESALM","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","BargainingLogit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","BargainingLogitALM","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","CES","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","CESALM","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","CESCournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","CESCournotALM","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","CESNests","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Cournot","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Linear","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","Logit","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","LogitALM","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","LogitBLP","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","LogitCap","formal-test","tests/testthat/test-public-output-methods.R",""
"S4 method","calcSlopes","LogitCapALM","formal-test","tests/testthat/test-public-output-methods.R",""
